,time,portfolio,stock,order
0,1497,hipzw,8,-15.0
2,1497,hipzw,10,28.0
3,1497,hipzw,11,-15.0
1,1497,wizey,13,29.0
3,1497,wizey,15,-45.0
1,1497,uitcq,17,-9.0
3,1497,uitcq,19,-2.0
0,1498,djruh,0,-23.0
3,1498,djruh,3,-3.0
2,1498,hjmxr,6,-94.0
0,1498,hipzw,8,-32.0
2,1498,hipzw,10,22.0
3,1498,hipzw,11,-7.0
1,1498,wizey,13,23.0
3,1498,wizey,15,-6.0
1,1498,uitcq,17,256.0
3,1498,uitcq,19,-168.0
0,1499,djruh,0,6.0
2,1499,hjmxr,6,-23.0
0,1499,hipzw,8,-17.0
2,1499,hipzw,10,2.0
3,1499,hipzw,11,7.0
1,1499,wizey,13,-58.0
3,1499,wizey,15,72.0
1,1499,uitcq,17,-21.0
3,1499,uitcq,19,-1.0
0,1500,djruh,0,-29.0
3,1500,djruh,3,10.0
2,1500,hjmxr,6,-96.0
0,1500,hipzw,8,22.0
2,1500,hipzw,10,-48.0
3,1500,hipzw,11,-9.0
1,1500,wizey,13,-9.0
3,1500,wizey,15,3.0
1,1500,uitcq,17,-27.0
3,1500,uitcq,19,2.0
0,1501,djruh,0,-3.0
3,1501,djruh,3,-2.0
2,1501,hjmxr,6,-63.0
0,1501,hipzw,8,-8.0
2,1501,hipzw,10,-4.0
3,1501,hipzw,11,-2.0
1,1501,wizey,13,16.0
3,1501,wizey,15,-24.0
1,1501,uitcq,17,-29.0
0,1502,djruh,0,53.0
3,1502,djruh,3,-35.0
2,1502,hjmxr,6,-151.0
0,1502,hipzw,8,-6.0
2,1502,hipzw,10,67.0
3,1502,hipzw,11,-57.0
1,1502,wizey,13,-28.0
3,1502,wizey,15,44.0
1,1502,uitcq,17,525.0
3,1502,uitcq,19,-378.0
0,1503,djruh,0,8.0
3,1503,djruh,3,-7.0
2,1503,hjmxr,6,19.0
0,1503,hipzw,8,-34.0
2,1503,hipzw,10,9.0
3,1503,hipzw,11,31.0
1,1503,wizey,13,41.0
3,1503,wizey,15,-32.0
1,1503,uitcq,17,-11.0
0,1504,djruh,0,-19.0
3,1504,djruh,3,21.0
2,1504,hjmxr,6,196.0
0,1504,hipzw,8,20.0
2,1504,hipzw,10,4.0
3,1504,hipzw,11,-25.0
1,1504,wizey,13,-6.0
3,1504,wizey,15,10.0
1,1504,uitcq,17,178.0
3,1504,uitcq,19,-135.0
0,1505,djruh,0,44.0
3,1505,djruh,3,-21.0
2,1505,hjmxr,6,-11.0
0,1505,hipzw,8,-59.0
2,1505,hipzw,10,4.0
3,1505,hipzw,11,76.0
1,1505,wizey,13,68.0
3,1505,wizey,15,-58.0
1,1505,uitcq,17,-10.0
0,1506,djruh,0,-24.0
3,1506,djruh,3,-3.0
2,1506,hjmxr,6,33.0
0,1506,hipzw,8,-64.0
2,1506,hipzw,10,-9.0
3,1506,hipzw,11,86.0
1,1506,wizey,13,-55.0
3,1506,wizey,15,34.0
1,1506,uitcq,17,-16.0
0,1507,djruh,0,-12.0
3,1507,djruh,3,1.0
2,1507,hjmxr,6,-38.0
0,1507,hipzw,8,23.0
2,1507,hipzw,10,-51.0
3,1507,hipzw,11,12.0
1,1507,wizey,13,8.0
3,1507,wizey,15,8.0
1,1507,uitcq,17,-9.0
0,1508,djruh,0,-18.0
3,1508,djruh,3,33.0
2,1508,hjmxr,6,-1.0
0,1508,hipzw,8,-56.0
2,1508,hipzw,10,74.0
3,1508,hipzw,11,7.0
1,1508,wizey,13,-5.0
3,1508,wizey,15,1.0
1,1508,uitcq,17,-9.0
0,1509,djruh,0,-12.0
3,1509,djruh,3,3.0
2,1509,hjmxr,6,-99.0
0,1509,hipzw,8,18.0
2,1509,hipzw,10,-21.0
3,1509,hipzw,11,-9.0
1,1509,wizey,13,-5.0
3,1509,wizey,15,-4.0
1,1509,uitcq,17,-1.0
0,1510,djruh,0,23.0
3,1510,djruh,3,-18.0
2,1510,hjmxr,6,58.0
0,1510,hipzw,8,-10.0
2,1510,hipzw,10,-18.0
3,1510,hipzw,11,34.0
1,1510,wizey,13,-53.0
3,1510,wizey,15,69.0
1,1510,uitcq,17,12.0
0,1511,djruh,0,-19.0
3,1511,djruh,3,12.0
2,1511,hjmxr,6,51.0
0,1511,hipzw,8,-40.0
2,1511,hipzw,10,31.0
3,1511,hipzw,11,4.0
1,1511,wizey,13,30.0
1,1511,uitcq,17,53.0
0,1512,djruh,0,-20.0
3,1512,djruh,3,8.0
2,1512,hjmxr,6,-54.0
0,1512,hipzw,8,13.0
2,1512,hipzw,10,-4.0
3,1512,hipzw,11,-44.0
3,1512,wizey,15,3.0
1,1512,uitcq,17,31.0
0,1513,djruh,0,-18.0
3,1513,djruh,3,2.0
2,1513,hjmxr,6,93.0
0,1513,hipzw,8,55.0
2,1513,hipzw,10,-56.0
3,1513,hipzw,11,-30.0
1,1513,wizey,13,31.0
3,1513,wizey,15,-31.0
1,1513,uitcq,17,26.0
0,1514,djruh,0,24.0
3,1514,djruh,3,-24.0
2,1514,hjmxr,6,-95.0
0,1514,hipzw,8,-21.0
2,1514,hipzw,10,40.0
3,1514,hipzw,11,-7.0
1,1514,wizey,13,35.0
3,1514,wizey,15,-23.0
1,1514,uitcq,17,-34.0
0,1515,djruh,0,-17.0
3,1515,djruh,3,1.0
2,1515,hjmxr,6,41.0
0,1515,hipzw,8,-12.0
2,1515,hipzw,10,10.0
3,1515,hipzw,11,-2.0
1,1515,wizey,13,25.0
3,1515,wizey,15,-44.0
1,1515,uitcq,17,-6.0
0,1516,djruh,0,1.0
3,1516,djruh,3,-1.0
2,1516,hjmxr,6,105.0
0,1516,hipzw,8,12.0
2,1516,hipzw,10,-59.0
3,1516,hipzw,11,30.0
1,1516,wizey,13,-70.0
3,1516,wizey,15,80.0
1,1516,uitcq,17,19.0
0,1517,djruh,0,67.0
3,1517,djruh,3,-45.0
2,1517,hjmxr,6,83.0
0,1517,hipzw,8,23.0
2,1517,hipzw,10,-14.0
3,1517,hipzw,11,-29.0
1,1517,wizey,13,51.0
3,1517,wizey,15,-66.0
1,1517,uitcq,17,9.0
0,1518,djruh,0,-28.0
3,1518,djruh,3,11.0
2,1518,hjmxr,6,-69.0
0,1518,hipzw,8,5.0
2,1518,hipzw,10,16.0
3,1518,hipzw,11,-28.0
1,1518,wizey,13,-6.0
3,1518,wizey,15,-2.0
1,1518,uitcq,17,-4.0
0,1519,djruh,0,-12.0
3,1519,djruh,3,-9.0
2,1519,hjmxr,6,-42.0
0,1519,hipzw,8,-3.0
2,1519,hipzw,10,-28.0
3,1519,hipzw,11,26.0
