,ToS,stock,seller,buyer,volume,tradeID
0,1004,5,xkvbi,world,-2.0,1004|5worldxkvbi-2.0
0,1004,4,world,fpmrk,1.0,1004|4worldfpmrk1.0
0,1004,6,zrdwn,world,-1.0,1004|6worldzrdwn-1.0
0,1004,17,world,zrdwn,1.0,1004|17worldzrdwn1.0
0,1004,5,vahzp,world,-1.0,1004|5worldvahzp-1.0
0,1004,4,world,xkvbi,1.0,1004|4worldxkvbi1.0
0,1004,4,world,vahzp,1.0,1004|4worldvahzp1.0
0,1004,11,world,bsfah,3.0,1004|11worldbsfah3.0
0,1004,8,bsfah,world,-1.0,1004|8worldbsfah-1.0
0,1004,6,bsfah,world,-1.0,1004|6worldbsfah-1.0
0,1004,5,bsfah,world,-3.0,1004|5worldbsfah-3.0
0,1004,4,world,bsfah,2.0,1004|4worldbsfah2.0
0,1004,2,bsfah,world,-2.0,1004|2worldbsfah-2.0
0,1004,11,world,vahzp,1.0,1004|11worldvahzp1.0
0,1004,11,world,xkvbi,2.0,1004|11worldxkvbi2.0
0,1005,0,world,bsfah,2.0,1005|0worldbsfah2.0
0,1005,11,world,xkvbi,3.0,1005|11worldxkvbi3.0
0,1005,4,xkvbi,world,-5.0,1005|4worldxkvbi-5.0
0,1005,0,world,xkvbi,1.0,1005|0worldxkvbi1.0
0,1005,8,xkvbi,world,-3.0,1005|8worldxkvbi-3.0
0,1005,2,xkvbi,world,-1.0,1005|2worldxkvbi-1.0
0,1005,18,world,fpmrk,1.0,1005|18worldfpmrk1.0
0,1005,17,world,xkvbi,3.0,1005|17worldxkvbi3.0
0,1005,4,fpmrk,world,-1.0,1005|4worldfpmrk-1.0
0,1005,17,world,vahzp,1.0,1005|17worldvahzp1.0
0,1005,11,world,bsfah,5.0,1005|11worldbsfah5.0
0,1005,8,bsfah,world,-3.0,1005|8worldbsfah-3.0
0,1005,6,world,bsfah,1.0,1005|6worldbsfah1.0
0,1005,5,world,bsfah,1.0,1005|5worldbsfah1.0
0,1005,4,bsfah,world,-8.0,1005|4worldbsfah-8.0
0,1005,4,vahzp,world,-1.0,1005|4worldvahzp-1.0
0,1005,14,world,xkvbi,1.0,1005|14worldxkvbi1.0
0,1006,0,world,bsfah,1.0,1006|0worldbsfah1.0
0,1006,5,world,bsfah,3.0,1006|5worldbsfah3.0
