,ToS,stock,seller,buyer,volume,tradeID
0,1009,8,world,hipzw,50.0,1009|8worldhipzw50.0
0,1009,9,world,hipzw,5.0,1009|9worldhipzw5.0
0,1009,11,hipzw,world,-102.0,1009|11worldhipzw-102.0
0,1009,13,wizey,world,-8.0,1009|13worldwizey-8.0
0,1009,15,wizey,world,-19.0,1009|15worldwizey-19.0
0,1009,16,world,uitcq,19.0,1009|16worlduitcq19.0
0,1009,17,world,uitcq,32.0,1009|17worlduitcq32.0
0,1009,19,uitcq,world,-43.0,1009|19worlduitcq-43.0
0,1010,1,world,djruh,26.0,1010|1worlddjruh26.0
0,1010,2,djruh,world,-18.0,1010|2worlddjruh-18.0
0,1010,3,djruh,world,-17.0,1010|3worlddjruh-17.0
0,1010,4,world,hjmxr,67.0,1010|4worldhjmxr67.0
0,1010,5,hjmxr,world,-11.0,1010|5worldhjmxr-11.0
0,1010,8,hipzw,world,-12.0,1010|8worldhipzw-12.0
0,1010,9,hipzw,world,-23.0,1010|9worldhipzw-23.0
0,1010,11,world,hipzw,39.0,1010|11worldhipzw39.0
0,1010,13,world,wizey,74.0,1010|13worldwizey74.0
0,1010,15,wizey,world,-95.0,1010|15worldwizey-95.0
0,1010,16,world,uitcq,3.0,1010|16worlduitcq3.0
0,1010,17,uitcq,world,-9.0,1010|17worlduitcq-9.0
0,1010,19,uitcq,world,-11.0,1010|19worlduitcq-11.0
0,1011,1,djruh,world,-5.0,1011|1worlddjruh-5.0
0,1011,2,world,djruh,16.0,1011|2worlddjruh16.0
0,1011,3,djruh,world,-9.0,1011|3worlddjruh-9.0
0,1011,4,hjmxr,world,-543.0,1011|4worldhjmxr-543.0
0,1011,5,world,hjmxr,418.0,1011|5worldhjmxr418.0
0,1011,8,world,hipzw,25.0,1011|8worldhipzw25.0
0,1011,9,world,hipzw,15.0,1011|9worldhipzw15.0
0,1011,11,hipzw,world,-21.0,1011|11worldhipzw-21.0
0,1011,13,wizey,world,-13.0,1011|13worldwizey-13.0
0,1011,15,wizey,world,-6.0,1011|15worldwizey-6.0
0,1011,16,uitcq,world,-43.0,1011|16worlduitcq-43.0
0,1011,17,world,uitcq,48.0,1011|17worlduitcq48.0
0,1011,19,world,uitcq,38.0,1011|19worlduitcq38.0
0,1012,1,world,djruh,8.0,1012|1worlddjruh8.0
0,1012,2,world,djruh,26.0,1012|2worlddjruh26.0
0,1012,3,djruh,world,-24.0,1012|3worlddjruh-24.0
0,1012,4,world,hjmxr,101.0,1012|4worldhjmxr101.0
0,1012,5,hjmxr,world,-107.0,1012|5worldhjmxr-107.0
0,1012,8,world,hipzw,53.0,1012|8worldhipzw53.0
0,1012,9,hipzw,world,-81.0,1012|9worldhipzw-81.0
0,1012,11,hipzw,world,-26.0,1012|11worldhipzw-26.0
0,1012,13,world,wizey,3.0,1012|13worldwizey3.0
0,1012,15,wizey,world,-38.0,1012|15worldwizey-38.0
0,1012,16,uitcq,world,-6.0,1012|16worlduitcq-6.0
0,1012,17,world,uitcq,41.0,1012|17worlduitcq41.0
0,1012,19,uitcq,world,-10.0,1012|19worlduitcq-10.0
0,1013,1,world,djruh,3.0,1013|1worlddjruh3.0
0,1013,2,djruh,world,-19.0,1013|2worlddjruh-19.0
0,1013,3,world,djruh,16.0,1013|3worlddjruh16.0
0,1013,4,hjmxr,world,-44.0,1013|4worldhjmxr-44.0
0,1013,5,hjmxr,world,-13.0,1013|5worldhjmxr-13.0
0,1013,8,world,hipzw,4.0,1013|8worldhipzw4.0
0,1013,9,hipzw,world,-73.0,1013|9worldhipzw-73.0
0,1013,11,world,hipzw,47.0,1013|11worldhipzw47.0
0,1013,13,world,wizey,7.0,1013|13worldwizey7.0
